Goroka,AYGA
General Edward Lawrence Logan Intl,KBOS
Travis Afb,KSUU
Griffiss Afld,KRME
Wendover,KENV
Mobile Downtown,KBFM
Metropolitan Oakland Intl,KOAK
Eppley Afld,KOMA
Port Angeles Cgas,KNOW
Kahului,PHOG
Wichita Mid Continent,KICT
Kansas City Intl,KMCI
Dane Co Rgnl Truax Fld,KMSN
Dillingham,PADL
Boone Co,KHRO
Phoenix Sky Harbor Intl,KPHX
Bangor Intl,KBGR
Fort Lauderdale Executive,KFXE
East Texas Rgnl,KGGG
Anderson Rgnl,KAND
Spokane Intl,KGEG
North Perry,KHWO
San Francisco Intl,KSFO
Cut Bank Muni,KCTB
Acadiana Rgnl,KARA
Gainesville Rgnl,KGNV
Memphis Intl,KMEM
Bisbee Douglas Intl,KDUG
Allen Aaf,PABI
Tstc Waco,KCNW
Annette Island,PANT
Caribou Muni,KCAR
Little Rock Afb,KLRF
Redstone Aaf,KHUA
Pope Afb,KPOB
Dalhart Muni,KDHT
Laughlin Afb,KDLF
Los Angeles Intl,KLAX
Anniston Metro,KANB
Cleveland Hopkins Intl,KCLE
Dover Afb,KDOV
Cincinnati Northern Kentucky Intl,KCVG
Tipton,KFME
China Lake Naws,KNID
Huron Rgnl,KHON
Juneau Intl,PAJN
Lafayette Rgnl,KLFT
Newark Liberty Intl,KEWR
Boise Air Terminal,KBOI
Creech Afb,KINS
Garden City Rgnl,KGCK
Minot Intl,KMOT
Wheeler Aaf,PHHI
Maxwell Afb,KMXF
Robinson Aaf,KRBM
Dallas Love Fld,KDAL
Butts Aaf,KFCS
Helena Rgnl,KHLN
Miramar Mcas,KNKX
Luke Afb,KLUF
Hurlburt Fld,KHRT
Jack Northrop Fld Hawthorne Muni,KHHR
Houlton Intl,KHUL
Vance Afb,KEND
Point Mugu Nas,KNTD
Edwards Afb,KEDW
Lake Charles Rgnl,KLCH
Kona Intl At Keahole,PHKO
Myrtle Beach Intl,KMYR
Lemoore Nas,KNLC
Nantucket Mem,KACK
Felker Aaf,KFAF
Campbell Aaf,KHOP
Ronald Reagan Washington Natl,KDCA
Patuxent River Nas,KNHK
Palacios Muni,KPSX
Arkansas Intl,KBYH
Atlantic City Intl,KACY
Tinker Afb,KTIK
Elizabeth City Cgas Rgnl,KECG
Pueblo Mem,KPUB
Northern Maine Rgnl At Presque Isle,KPQI
Albuquerque Intl Sunport,KIKR
Gray Aaf,KGRF
Kodiak,PADQ
Upolu,PHUP
Fort Lauderdale Hollywood Intl,KFLL
Davis Fld,KMKO
Falls Intl,KINL
Salt Lake City Intl,KSLC
Childress Muni,KCDS
Keesler Afb,KBIX
Lawson Aaf,KLSF
Kingsville Nas,KNQI
Marshall Aaf,KFRI
Harrisburg Intl,KMDT
Lincoln,KLNK
Capital City,KLAN
Waimea Kohala,PHMU
Massena Intl Richards Fld,KMSS
Hickory Rgnl,KHKY
Albert Whitted,KSPG
Page Fld,KFMY
George Bush Intcntl Houston,KIAH
Millinocket Muni,KMLT
Andrews Afb,KADW
Smith Reynolds,KINT
Southern California Logistics,KVCV
Bob Sikes,KCEW
Wheeler Sack Aaf,KGTB
St Clair Co Intl,KPHN
Meadows Fld,KBFL
El Paso Intl,KELP
Valley Intl,KHRL
Columbia Metropolitan,KCAE
Davis Monthan Afb,KDMA
Pensacola Nas,KNPA
Pensacola Rgnl,KPNS
Grand Forks Afb,KRDR
William P Hobby,KHOU
Buckley Afb,KBKF
Northway,PAOR
Palmer Muni,PAAQ
Pittsburgh Intl,KPIT
Wiley Post Will Rogers Mem,PABR
Ellington Fld,KEFD
Whidbey Island Nas,KNUW
Alice Intl,KALI
Moody Afb,KVAD
Miami Intl,KMIA
Seattle Tacoma Intl,KSEA
Lovell Fld,KCHA
Igor I Sikorsky Mem,KBDR
Jackson Evers Intl,KJAN
Scholes Intl At Galveston,KGLS
Long Beach,KLGB
Dillingham,PHDH
Williamsport Rgnl,KIPT
Indianapolis Intl,KIND
Whiteman Afb,KSZL
Akron Fulton Intl,KAKR
Greenwood Leflore,KGWO
Westchester Co,KHPN
Francis S Gabreski,KFOK
Jonesboro Muni,KJBR
Tonopah Test Range,KTNX
Palm Beach Co Park,KLNA
North Island Nas,KNZY
Biggs Aaf,KBIF
Yuma Mcas Yuma Intl,KYUM
Cavern City Air Terminal,KCNM
Duluth Intl,KDLH
Bethel,PABE
Bowman Fld,KLOU
Sierra Vista Muni Libby Aaf,KFHU
Lihue,PHLI
Terre Haute Intl Hulman Fld,KHUF
Havre City Co,KHVR
Grant Co Intl,KMWH
Edward F Knapp State,KMPV
San Nicolas Island Nolf,KNSI
Richmond Intl,KRIC
Shreveport Rgnl,KSHV
Merle K Mudhole Smith,PACV
Norfolk Intl,KORF
Southeast Texas Rgnl,KBPT
Savannah Hilton Head Intl,KSAV
Hill Afb,KHIF
Nome,PAOM
Scappoose Industrial Airpark,KSPB
St Petersburg Clearwater Intl,KPIE
Menominee Marinette Twin Co,KMNM
Lone Star Executive,KCXO
Deadhorse,PASC
San Antonio Intl,KSAT
Greater Rochester Intl,KROC
Patrick Afb,KCOF
Teterboro,KTEB
Ellsworth Afb,KRCA
Raleigh Durham Intl,KRDU
James M Cox Dayton Intl,KDAY
Kenai Muni,PAEN
Mc Alester Rgnl,KMLC
Niagara Falls Intl,KIAG
Coulter Fld,KCFD
Wright Aaf,KLHW
Newport News Williamsburg Intl,KPHF
Esler Rgnl,KESF
Altus Afb,KLTS
Tucson Intl,KTUS
Minot Afb,KMIB
Beale Afb,KBAB
Greater Kankakee,KIKK
Seymour Johnson Afb,KGSB
Theodore Francis Green State,KPVD
Salisbury Ocean City Wicomico Rgnl,KSBY
Rancho Murieta,KRIU
Bob Hope,KBUR
Detroit Metro Wayne Co,KDTW
Tampa Intl,KTPA
Pembina Muni,KPMB
Polk Aaf,KPOE
Eielson Afb,PAEI
Chisholm Hibbing,KHIB
Angelina Co,KLFK
Midland Intl,KMAF
Austin Straubel Intl,KGRB
Ardmore Muni,KADM
Mc Guire Afb,KWRI
Cherry Point Mcas,KNKT
Emanuel Co,KSBO
Augusta Rgnl At Bush Fld,KAGS
Sloulin Fld Intl,KISN
Adams Fld,KLIT
Stewart Intl,KSWF
Baudette Intl,KBDE
Sacramento Executive,KSAC
Homer,PAHO
Waynesville Rgnl Arpt At Forney Fld,KTBN
Dobbins Arb,KMGE
Fairchild Afb,KSKA
Roscommon Co,KHTL
Tyndall Afb,KPAM
Dallas Fort Worth Intl,KDFW
Melbourne Intl,KMLB
Mc Chord Afb,KTCM
Austin Bergstrom Intl,KAUS
Rickenbacker Intl,KLCK
Sawyer Intl,KSAW
Mc Ghee Tyson,KTYS
Hood Aaf,KHLR
Lambert St Louis Intl,KSTL
Millville Muni,KMIV
Sheppard Afb Wichita Falls Muni,KSPS
Cincinnati Muni Lunken Fld,KLUK
Hartsfield Jackson Atlanta Intl,KATL
Castle,KMER
Mc Clellan Afld,KMCC
Gerald R Ford Intl,KGRR
Winkler Co,KINK
Fresno Yosemite Intl,KFAT
Vero Beach Muni,KVRB
Imperial Co,KIPL
Nashville Intl,KBNA
Laredo Intl,KLRD
Elmendorf Afb,PAED
Ralph Wien Mem,PAOT
Altoona Blair Co,KAOO
Dyess Afb,KDYS
South Arkansas Rgnl At Goodwin Fld,KELD
La Guardia,KLGA
Tallahassee Rgnl,KTLH
Dupage,KDPA
Waco Rgnl,KACT
Augusta State,KAUG
Hillsboro Muni,KINJ
Jacksonville Nas,KNIP
Mc Kellar Sipes Rgnl,KMKL
Molokai,PHMK
Godman Aaf,KFTK
New River Mcas,KNCA
San Angelo Rgnl Mathis Fld,KSJT
Calexico Intl,KCXL
Chico Muni,KCIC
Burlington Intl,KBTV
Jacksonville Intl,KJAX
Durango La Plata Co,KDRO
Washington Dulles Intl,KIAD
Easterwood Fld,KCLL
Felts Fld,KSFF
General Mitchell Intl,KMKE
Abilene Rgnl,KABI
Columbia Rgnl,KCOU
Portland Intl,KPDX
Dade Collier Training And Transition,KTNT
Palm Beach Intl,KPBI
Fort Worth Meacham Intl,KFTW
Ogdensburg Intl,KOGS
Otis Angb,KFMH
Boeing Fld King Co Intl,KBFI
Lackland Afb Kelly Fld Annex,KSKF
Honolulu Intl,PHNL
Des Moines Intl,KDSM
Craven Co Rgnl,KEWN
San Diego Intl,KSAN
Monroe Rgnl,KMLU
Shaw Afb,KSSC
Ontario Intl,KONT
Majors,KGVT
Roswell Intl Air Center,KROW
Coleman A Young Muni,KDET
Brownsville South Padre Island Intl,KBRO
Dothan Rgnl,KDHN
Cape May Co,KWWD
Fallon Nas,KNFL
Selfridge Angb,KMTC
Four Corners Rgnl,KFMN
Corpus Christi Intl,KCRP
Syracuse Hancock Intl,KSYR
Key West Nas,KNQX
Chicago Midway Intl,KMDW
Norman Y Mineta San Jose Intl,KSJC
Lea Co Rgnl,KHOB
Northeast Philadelphia,KPNE
Denver Intl,KDEN
Philadelphia Intl,KPHL
Sioux Gateway Col Bud Day Fld,KSUX
Middle Georgia Rgnl,KMCN
Truth Or Consequences Muni,KTCS
Palmdale Rgnl Usaf Plt 42,KPMD
Randolph Afb,KRND
El Centro Naf,KNJK
Port Columbus Intl,KCMH
Drake Fld,KFYV
Henry Post Aaf,KFSI
Princeton Muni,KPNM
Wright Patterson Afb,KFFO
Edward G Pitka Sr,PAGA
Chandler Muni,KCHD
Mineral Wells,KMWL
Mc Connell Afb,KIAB
New Orleans Nas Jrb,KNBG
Beaufort Mcas,KNBC
Texarkana Rgnl Webb Fld,KTXK
Plattsburgh Intl,KPBG
Phillips Aaf,KAPG
Tucumcari Muni,KTCC
Ted Stevens Anchorage Intl,PANC
Robert Gray Aaf,KGRK
Black Rock,KZUN
Bellingham Intl,KBLI
Millington Rgnl Jetport,KNQA
Elkins Randolph Co Jennings Randolph,KEKN
Hartford Brainard,KHFD
North Central State,KSFZ
Mobile Rgnl,KMOB
Moffett Federal Afld,KNUQ
Santa Fe Muni,KSAF
Barking Sands Pmrf,PHBK
Beauregard Rgnl,KDRI
Bradshaw Aaf,PHSF
Nogales Intl,KOLS
Macdill Afb,KMCF
Scott Afb Midamerica,KBLV
Opa Locka,KOPF
Del Rio Intl,KDRT
Southwest Florida Intl,KRSW
King Salmon,PAKN
Muir Aaf,KMUI
Kapalua,PHJH
John F Kennedy Intl,KJFK
Homestead Arb,KHST
Riverside Muni,KRAL
Sherman Aaf,KFLV
Wallops Flight Facility,KWAL
Holloman Afb,KHMN
Willow Grove Nas Jrb,KNXX
Cheyenne Rgnl Jerry Olson Fld,KCYS
Stockton Metropolitan,KSCK
Charleston Afb Intl,KCHS
Reno Tahoe Intl,KRNO
Ketchikan Intl,PAKT
Willow Run,KYIP
Vandenberg Afb,KVBG
Birmingham Intl,KBHM
Lakehurst Naes,KNEL
Eareckson As,PASY
Nellis Afb,KLSV
March Arb,KRIV
Modesto City Co Harry Sham,KMOD
Sacramento Intl,KSMF
Waukegan Rgnl,KUGN
City Of Colorado Springs Muni,KCOS
Buffalo Niagara Intl,KBUF
Griffing Sandusky,KSKY
Snohomish Co,KPAE
Mountain Home Afb,KMUO
Cedar City Rgnl,KCDC
Bradley Intl,KBDL
Mc Allen Miller Intl,KMFE
Norfolk Ns,KNGU
Westover Arb Metropolitan,KCEF
Lubbock Preston Smith Intl,KLBB
Chicago Ohare Intl,KORD
Boca Raton,KBCT
Fairbanks Intl,PAFA
Quantico Mcaf,KNYG
Cannon Afb,KCVS
Kaneohe Bay Mcaf,PHNG
Offutt Afb,KOFF
Gulkana,PAGK
Watertown Intl,KART
Palm Springs Intl,KPSP
Rick Husband Amarillo Intl,KAMA
Fort Dodge Rgnl,KFOD
Barksdale Afb,KBAD
Forbes Fld,KFOE
Cotulla Lasalle Co,KCOT
Wilmington Intl,KILM
Baton Rouge Metro Ryan Fld,KBTR
Meridian Nas,KNMM
Tyler Pounds Rgnl,KTYR
Baltimore Washington Intl,KBWI
Hobart Muni,KHBR
Lanai,PHNY
Alexandria Intl,KAEX
Condron Aaf,KWSD
Cold Bay,PACD
Tulsa Intl,KTUL
Sitka Rocky Gutierrez,PASI
Long Island Mac Arthur,KISP
Minneapolis St Paul Intl,KMSP
New Castle,KILG
Unalaska,PADU
Louis Armstrong New Orleans Intl,KMSY
Portland Intl Jetport,KPWM
Will Rogers World,KOKC
Albany Intl,KALB
Valdez Pioneer Fld,PAVD
Langley Afb,KLFI
John Wayne Arpt Orange Co,KSNA
Columbus Afb,KCBM
Kendall Tamiami Executive,KTMB
Oceana Nas,KNTU
Grissom Arb,KGUS
Natrona Co Intl,KCPR
Eglin Afb,KVPS
Craig Fld,KSEM
Key West Intl,KEYW
Charlotte Douglas Intl,KCLT
Mc Carran Intl,KLAS
Orlando Intl,KMCO
Florence Rgnl,KFLO
Great Falls Intl,KGTF
Youngstown Warren Rgnl,KYNG
Ladd Aaf,PAFB
Mc Minnville Muni,KMMV
Robins Afb,KWRB
Suvarnabhumi Intl,VTBS
Andi Jemma,WAWM
Soroako,WAWS
Pongtiku,WAWT
Wolter Monginsidi,WAWW
Maimun Saleh,WITB
Cibeureum,WICM
Iswahyudi,WARI
Abdul Rachman Saleh,WARA
Budiarto,WICB
Husein Sastranegara,WICC
Penggung,WICD
Adi Sutjipto,WARJ
Tunggul Wulung,WIHL
Pondok Cabe,WIHP
Achmad Yani,WARS
Hang Nadim,WIDD
H As Hanandjoeddin,WIOD
Depati Amir,WIPK
Kijang,WIDN
Dabo,WIDS
Syamsudin Noor,WAOO
Batu Licin,WAOC
Iskandar,WAOI
Tjilik Riwut,WAOP
Militaerlager,\N
Wai Oti,WATC
H Hasan Aroeboesman,WATE
Satar Tacik,WATG
El Tari,WATT
Mutiara Ii,WATO
Sepinggan,WALL
Juwata,WALR
Temindung,WALS
Tanjung Santan,WALT
Selaparang,WADA
Muhammad Salahuddin,WADB
Krems Langenlois,LOAG
Mau Hau,WADW
Juanda,WARR
Adi Sumarmo Wiryokusumo,WARQ
Chiang Mai Intl,VTCC
Chiang Rai Intl,VTCT
Nakhon Si Thammarat,VTSF
Bali Ngurah Rai,WADD
Nakhon Ratchasima,VTUQ
Nakhon Phanom,VTUW
Ubon Ratchathani,VTUU
Khon Kaen,VTUK
Sukhothai,VTPO
Eleftherios Venizelos Intl,LGAV
Chubu Centrair Intl,RJGG
Kobe,RJBE
Pullman-Moscow Rgnl,KPUW
Lewiston Nez Perce Co,KLWS
Elmira Corning Rgnl,KELM
Ithaca Tompkins Rgnl,KITH
Monterey Peninsula,KMRY
Santa Barbara Muni,KSBA
Daytona Beach Intl,KDAB
Berlin - Metropolencode,\N
Liepaja Intl,EVLA
Riga Intl,EVRA
Siauliai Intl,EYSA
Barysiai,EYSB
Kaunas Intl,EYKA
S. Darius,EYKS
Palanga Intl,EYPA
Vilnius Intl,EYVI
Pajuostis,EYPP
Erebuni,UDYE
Stepanavan,UDLS
Zvartnots,UDYZ
Gyumri,UDSG
Assab Intl,HHSB
Asmara Intl,HHAS
Massawa Intl,HHMS
Yasser Arafat Intl,LVGZ
Riyan,OYRN
Batumi,UGSB
Kopitnari,UGKO
Tbilisi,UGTB
Taiz Intl,OYTZ
Hodeidah Intl,OYHD
Aden Intl,OYAA
Ataq,OYAT
Al Ghaidah Intl,OYGD
Sanaa Intl,OYSN
Allgau,EDJA
Beihan,OYBN
RK Heliplex,\N
Socotra Intl,OYSQ
Al Badie,OYBA
Kapadokya,LTAZ
Ministro Pistarini,SAEZ
Erbil Intl,ORER
Emerald,YEML
Ellinikon International Airport,LGAT
Kansai,RJBB
Wall Street Heliport,KJRB
Tagbilaran,RPVT
Ilulissat,BGJN
Qasigiannguit,BGCH
Aasiaat,BGEM
Son Sant Joan,LEPA
Darwin Intl,YPDN
Surat Thani,VTSB
Bagan Intl,VYBR
Godofredo P,RPXE
Bimini North Seaplane Base,\N
Talkeetna,PATK
Xewkija Heliport,LMMG
Tweed-New Haven Airport,KHVN
Asheville Regional Airport,KAVL
Piedmont Triad,KGSO
Sioux Falls,KFSD
Ayers Rock,YAYE
Manchester Regional Airport,KMHT
Naples Muni,KAPF
Redang,WMPR
Louisville International Airport,KSDF
Charlottesville-Albemarle,KCHO
Roanoke Regional,KROA
Blue Grass,KLEX
Evansville Regional,KEVV
Albuquerque International Sunport,KABQ
Gallatin Field,KBZN
Billings Logan International Airport,KBIL
Bert Mooney Airport,KBTM
Cherry Capital Airport,KTVC
Mundo Maya International,MGTK
Hancock County - Bar Harbor,KBHB
Knox County Regional Airport,KRKD
Jackson Hole Airport,KJAC
Chicago Rockford International Airport ,KRFD
Domodedovo,UUDD
Phoenix International,ZJSY
Milford Sound Airport,NZMF
East 34th Street Heliport,NONE
Lijiang Airport,ZPLJ
Greenville-Spartanburg International,KGSP
Cologne Railway,\N
Stuttgart Railway Station,\N
Central Illinois Rgnl,KBMI
Gulfport-Biloxi,KGPT
Kalamazoo,KAZO
Toledo,KTOL
Fort Wayne,KFWA
Decatur,KDEC
Cedar Rapids,KCID
LaCrosse Municipal,KLSE
Central Wisconsin,KCWA
Peoria Regional,KPIA
Appleton,KATW
Rochester,KRST
Champaign,KCMI
Manhattan Reigonal,KMHK
Kingscote Airport,YKSC
Hervey Bay Airport,YHBA
EuroAirport Basel-Mulhouse-Freiburg,\N
Dali,ZPDL
Jinghong,\N
Mulu,\N
Sharm El Sheikh Intl,\N
Franklin,KFKL
Jomo Kenyatta International,HKJK
Seronera,HTSN
El Calafate,SAWC
Armidale,YARM
Grand Junction Regional,KGJT
St George Muni,KSGU
David Wayne Hooks Field,KDWH
Port O\\'Connor Airfield,XS46
Sarasota Bradenton Intl,KSRQ
Van Nuys,KVNY
Bermuda Intl,TXKF
Arthur Dunn Airpark,\N
Quad City Intl,KMLI
Panama City Bay Co Intl,KPFN
Honiara International,AGGH
Faa\\'a International,NTAA
Nauru Intl,ANYN
Funafuti International,NGFU
Tolmachevo,UNNT
Orlando,\N
Stavns,EKSS
Xieng Khouang,VLXK
Phu Bai,\N
Bismarck Municipal Airport,KBIS
Telluride,KTEX
Yinchuan,ZLIC
Mae Hong Son,VTCH
Rapid City Regional Airport,KRAP
McClellan-Palomar Airport,KCRQ
Bishop International,KFNT
Francisco Bangoy International,RPMD
Madeira,LPMA
Santarem,SBSN
Sihanoukville,VDSV
Ekati,CYOA
Napier,NZNR
Levuka Airfield,NFNB
Lhasa-Gonggar,ZULS
Redding Muni,KRDD
Mahlon Sweet Fld,KEUG
Idaho Falls Rgnl,KIDA
Rogue Valley Intl Medford,KMFR
Kaikoura,\N
Roberts Fld,KRDM
Koromiko,NZPN
Windhoek Hosea Kutako International Airport ,FYWV
Victoria Inner Harbour Airport,CYWH
Vancouver Coal Harbour,CAQ3
Jinan,ZSJN
Changzhou,ZSCG
Yibin,ZUYB
Roschino,USTR
Akron Canton Regional Airport,\N
Huntsville International Airport-Carl T Jones Field,\N
Mid-Ohio Valley Regional Airport,KPKB
Montgomery Regional Airport ,KMGM
Tri-Cities Regional Airport,KTRI
Barkley Regional Airport,KPAH
Samara,\N
Ambouli International Airport,HDAM
Meilan,ZJHK
Mafia,HTMA
Glacier Park Intl,KFCA
Mtemere Airstrip,
Page Municipal Airport,KPGA
Utila Airport,MHUT
Santa Elena Airport,\N
Mbs Intl,KMBS
Greater Binghamton Edwin A Link Fld,KBGM
Baghdad International Airport,ORBI
Nan,VTCN
Roi Et,VTUV
Buri Ram,VTUO
Ranong,\N
Trat,VTBO
Blythe Airport,KBLH
Al Asad Airbase,ORAA
Al Taqaddum Airbase,ORAT
Balad Southeast Airport,ORBD
Diosdado Macapagal International,RPLC
Sandakan,WBKS
Luang Namtha,VLLN
Oudomxay,VLOS
Shenyang Taoxian International Airport,ZYTX
Dongying Airport,ZSDY
John A. Osborne Airport,TRPG
Petersburg James A. Johnson,PAPG
Luoyang Airport,ZHLY
Xuzhou Guanyin Airport,ZSXZ
Esfahan Shahid Beheshti Intl,\N
Magwe,VYMW
Khamti,VYKI
Dalat,VVDL
Dong Hoi,\N
Rach Gia,VVRG
Ca Mau,VVCM
Chu Lai,VVCA
Dong Tac,VVTH
Pai,VTCI
Brac,LDSB
Yaounde Nsimalen,FKYS
Conakry,GUCY
Bergrestaurant,\N
Uetliberg,\N
Flugplatz Merzbrueck,EDKA
Baden Airpark,EDSB
Orlando Sanford Intl,KSFB
Duong Dong Airport,\N
John Murtha Johnstown-Cambria County Airport,KJST
Lukla,VNLK
Bhojpur,VNBJ
Lamidanda,VNLD
Jomsom,VNJS
Manang,VNMA
Phaplu,VNPL
Thamkharka,\N
Rumjatar,VNRT
Tulsipur,VNDG
Rukumkot,VNRK
Jumla,VNJL
Chaurjhari,VNCJ
Taplejung,VNTJ
Tumling Tar,VNTR
Surkhet,VNSK
Simikot,VNST
Dolpa,VNDP
Bajhang,VNBG
Dhangarhi,VNDH
Muan,RKJB
Astypalaia,LGPL
Ikaria,LGIK
Kalymnos Island,LGKY
Milos,LGML
Naxos,LGNX
Paros,LGPA
Kastelorizo,LGKJ
Marsa Alam Intl,HEMA
Niederrhein,EDLV
Busuanga,RPVV
Butuan,RPME
Dipolog,RPMG
Laoag Intl,RPLI
Legazpi,RPLP
Ozamis,RPMO
Zweibruecken,\N
Mactan Cebu Intl,RPVM
Sonderlandeplatz Norden-Norddeich,EDWS
Verkehrslandeplatz Juist,EDWJ
Aeroporto de Porto Seguro,SBPS
Gounda Airport,\N
Heliport Hotel das Cataratas,\N
Iguatu,SNIG
Palmas,SBPJ
Caldas Novas,SBCN
Missoula Intl,KMSO
Blackall,YBCK
Bundaberg,YBUD
Grand Canyon National Park Airport,KGCN
Sugar Land Regional Airport,KSGR
Hayman Island Airport,YHYN
Centennial,KAPA
Clovis Muni,KCVN
Fort Stockton Pecos Co,KFST
Las Vegas Muni,KLVS
West Houston,KIWS
La Junta Muni,KLHX
Las Cruces Intl,KLRU
Stephens Co,KBKD
Draughon Miller Central Texas Rgnl,KTPL
Ozona Muni,KOZA
Hong Kong Kai Tak,HKGX
Athen Helenikon Airport,\N
Waikoloa Heliport,HI07
Kaadedhdhoo,\N
Aklavik,CYKD
Deline,CYWJ
Tulita,CZFN
Fort Good Hope,CYGH
Inuvik Town,\N
INAWR,\N
Tanna island,\N
Sun Island,\N
Paulatuk,CYPC
Nicholson Peninsula,YUCX
Santa Cruz,\N
Kulusuk,\N
Juancho E. Yrausquin,TNCS
Eagle Co Rgnl,KEGE
Stapleton,\N
Skagen,ENSK
Cuyahoga County,KCGF
Mansfield Lahm Regional,KMFD
Columbus Metropolitan Airport,KCSG
Lawton-Fort Sill Regional Airport,KLAW
Fort Collins Loveland Muni,KFNL
Gouvia Marina,\N
Paxos Marina,\N
Flagstaff Pulliam Airport,KFLG
Lake Tahoe Airport,KTVL
Magic Valley Regional Airport,KTWF
Monaco,\N
Martha\\'s Vineyard,KMVY
Newport State,\N
Hartness State,\N
Concord Municipal,\N
Sanford Regional,\N
Groton New London,KGON
Saint Cloud Regional Airport,KSTC
Bagan,\N
Golden Triangle Regional Airport,KGTR
Strigino,UWGG
Bowerman Field,\N
Erie Intl Tom Ridge Fld,KERI
Conrad Maldives Resort,\N
Barnstable Muni Boardman Polando Fld,KHYA
San Pedro,MZ10
Sedona,KSEZ
Dry Tortugas,\N
Dry Tortugas,\N
Dry Tortugas,\N
Morgantown Muni Walter L Bill Hart Fld,KMGW
Yeager,KCRW
Wilkes Barre Scranton Intl,KAVP
Bemidji Regional Airport,KBJI
Heydar Aliyev,\N
Thangool,YTNG
Fagali\\'i,NSFI
Ballina Byron Gateway,YBNA
Hector International Airport,KFAR
Downtown,KMKC
Phoenix-Mesa Gateway,KIWA
Ratanakiri,\N
Gillette-Campbell County Airport,KGCC
Tomsk Bogashevo Airport,UNTT
El Toro,KNZJ
Phetchabun,VTPB
Chumphon,VTSE
Jiuzhaigou Huanglong,ZUJZ
Wai Sha Airport,ZGOW
Les Ailerons,LFFE
Cheddi Jagan Intl,SYCJ
Ciudad del Este,SGES
Ogle,SYGO
Kaieteur,SYKA
Dunhuang Airport,ZLDH
Falconara,LIPY
Samjiyon,ZZ04
El Calafate,\N
Copiapo,SCHA
Taba Intl,HETB
Edward Bodden Airfield,MWCL
Bodrum - Milas,LTFE
7 Novembre,DTKA
Sabiha Gokcen,LTFJ
University Park Airport,KUNV
Broome,YPBR
Newcastle Airport,YWLM
Bakki Airport,BIBA
Woerthersee International Airport,LOWK
General Manuel Carlos Piar,\N
Flugplatz Hoepen,\N
Hammerfest Airport,ENHF
Valan,ENHV
Airport,ENMR
Airport,ENVD
Riem,MUCX
Imam Khomeini,\N
Mashhad,\N
Egelsbach,\N
Ust-Ilimsk,UIBS
Mudanjiang,\N
Key Field,KMEI
Abraham Lincoln Capital,KSPI
Uzundzhovo,LB14
Cortez Muni,KCEZ
Yampa Valley,KHDN
Gallup Muni,KGUP
Liberal Muni,KLBL
Lamar Muni,KLAA
Renner Fld,KGLD
Yellowstone Rgnl,KCOD
Hovden,ENOV
RNAS WATTON,EGYR
ISLES OF SCILLY,\N
Springfield Branson Natl,KSGF
Framnes,ENNK
Berlevag,ENBV
Fornebu,ENFB
Alykel,UOOO
Vityazevo,URKA
Joplin Rgnl,KJLN
Lehigh Valley Intl,KABE
NW Arkansas Regional,KXNA
Atyrau,UATG
Kzyl-Orda,UAOO
South Bend Rgnl,KSBN
Bykovo,UUBB
Chintheche,FWCC
Talagi,ULAA
Central,UWSS
Novyi Urengoy,\N
Noyabrsk,USRO
Washington Union Station,\N
Aktau,\N
Ukhta,\N
Usinsk,\N
Pechora,\N
Naryan-Mar,ULAM
Kresty,ULOO
Kogalym International,USRK
Emelyanovo,UNKL
Sary-Arka,UAKK
Severny,UNCC
Uraj,USHU
Turkmenabat,\N
Yuzhny,UUBI
Changchun,ZYCC
Niigata,RJSN
Johnston Atoll,PJON
Smith Fld,KSMD
Arcata,KACV
Camp Mabry Austin City,KATT
Albert J Ellis,KOAJ
Tuscaloosa Rgnl,KTCL
Dubuque Rgnl,KDBQ
Forde Bringeland,\N
Shun Tak Heliport,VHST
Poliarny Airport,UERP
Nakhchivan Airport,UBBN
Ganja Airport,UBBG
Torp,\N
Ust Kamenogorsk Airport,UASK
Petropavlosk South Airport,UACP
Les Bases Airport,TFFM
St-Fran?ºois Airport,TFFC
Codrington Airport,TAPH
Ji-Paran?í Airport,SWJI
Escuela Mariscal Sucre Airport,SVBS
Maria Reiche Neuman Airport,SPZA
Mayor General FAP Armando Revoredo Iglesias Airport,SPJR
Gatokae Airport,
Boorama Airport,
Mucuri Airport,SNMU
Zorg en Hoop Airport,SMZO
Reyes Airport,SLRY
Puerto Rico Airport,SLPR
El Alcarav?ín Airport,SKYP
General Rivadeneira Airport,SETN
Puc??n Airport,SCPC
Toledo Airport,SBTD
Santa Maria Airport,SBSM
Chapada Diamantina Airport,SBLE
Goulburn Airport,YGLB
Orlando Bezerra de Menezes Airport,SBJU
Santa Teresita Airport,SAZL
Gobernador Gregores Airport,SAWR
Antoine De St Exupery Airport,SAVN
Las Heras Airport,SAVH
General Enrique Mosconi Airport,SAST
Masbate Airport,RPVJ
Catarman National Airport,RPVF
Jolo Airport,RPMJ
Camiguin Airport,RPMH
Cuyo Airport,RPLO
Cheongju International Airport,RKTU
Sacheon Air Base,RKPS
Wonju Airport,RKNW
Mokpo Airport,RKJM
Kunsan Air Base,RKJK
Miyakejima Airport,RJTQ
Shonai Airport,RJSY
Odate Noshiro Airport,RJSR
Fukushima Airport,RJSF
Iwami Airport,RJOW
Nagoya Airport,RJNA
Saga Airport,RJFS
Okadama Airport,RJCO
Kushiro Airport,RJCK
Matsu Beigan Airport,RCMT
Hengchun Airport,RCKW
Matsu Nangan Airport,RCFG
Eniwetok Airport,PKMA
Kalaupapa Airport,PHLU
El Nido Airport,
